dataset,seed,metodo,acuracia,precisao,recall,f1_score,tempo,best_params
Titanic,2,BayesianOptimization,0.8156424581005587,0.8214285714285714,0.6666666666666666,0.736,2.2931432723999023,"{'C': 79.15074397656232, 'gamma': 0.0964385761594144}"
Water Potability,2,GridSearch,0.649390243902439,0.6382978723404256,0.234375,0.34285714285714286,7.686111927032471,"{'C': np.float64(1000.0), 'gamma': np.float64(0.004641588833612782)}"
Water Potability,2,RandomSearch,0.6554878048780488,0.5757575757575758,0.4453125,0.5022026431718062,6.014758586883545,"{'C': 45.70563099801451, 'gamma': 0.09846738873614563}"
Water Potability,2,BayesianOptimization,0.676829268292683,0.6692307692307692,0.33984375,0.45077720207253885,13.852075815200806,"{'C': 12.88093233427026, 'gamma': 0.06312882999823212}"
Employee,2,GridSearch,0.8356605800214822,0.874439461883408,0.609375,0.7182320441988951,19.232462882995605,"{'C': np.float64(1000.0), 'gamma': np.float64(0.004641588833612782)}"
Employee,2,RandomSearch,0.8367346938775511,0.836,0.653125,0.7333333333333333,9.08404016494751,"{'C': 45.70563099801451, 'gamma': 0.09846738873614563}"
Employee,2,BayesianOptimization,0.8388829215896885,0.8541666666666666,0.640625,0.7321428571428571,29.51000690460205,"{'C': 14.413579516691252, 'gamma': 0.11081699269523682}"
Weather,2,GridSearch,0.8605,0.7664473684210527,0.528344671201814,0.625503355704698,110.39621210098267,"{'C': np.float64(1000.0), 'gamma': np.float64(0.0001)}"
Weather,2,RandomSearch,0.8575,0.761744966442953,0.5147392290249433,0.6143437077131259,84.30814552307129,"{'C': 11.462107403425033, 'gamma': 0.000498275235707645}"
Weather,2,BayesianOptimization,0.8615,0.7645161290322581,0.5374149659863946,0.6311584553928096,90.15944004058838,"{'C': 492.9053648241689, 'gamma': 0.00010090061869151568}"
Breast Cancer,3,GridSearch,0.9912280701754386,1.0,0.9761904761904762,0.9879518072289156,0.3350799083709717,"{'C': np.float64(21.544346900318846), 'gamma': np.float64(0.004641588833612782)}"
Breast Cancer,3,RandomSearch,0.9912280701754386,1.0,0.9761904761904762,0.9879518072289156,0.23426079750061035,"{'C': 145.28246637516034, 'gamma': 0.0011526449540315616}"
Breast Cancer,3,BayesianOptimization,0.9912280701754386,1.0,0.9761904761904762,0.9879518072289156,1.854966163635254,"{'C': 96.09812947036423, 'gamma': 0.0008263688714158015}"
Titanic,3,GridSearch,0.8715083798882681,0.8833333333333333,0.7681159420289855,0.8217054263565892,0.788977861404419,"{'C': np.float64(0.464158883361278), 'gamma': np.float64(0.21544346900318845)}"
Titanic,3,RandomSearch,0.8435754189944135,0.8253968253968254,0.7536231884057971,0.7878787878787878,0.43305015563964844,"{'C': 0.3320559103751957, 'gamma': 0.0420515645091387}"
Titanic,3,BayesianOptimization,0.8547486033519553,0.8412698412698413,0.7681159420289855,0.803030303030303,2.4310336112976074,"{'C': 11.435780278433413, 'gamma': 0.0001084754664013074}"
Water Potability,3,GridSearch,0.6615853658536586,0.6931818181818182,0.23828125,0.3546511627906977,7.746402978897095,"{'C': np.float64(0.464158883361278), 'gamma': np.float64(0.21544346900318845)}"
Water Potability,3,RandomSearch,0.6478658536585366,0.5641025641025641,0.4296875,0.4878048780487805,5.991255760192871,"{'C': 45.70563099801451, 'gamma': 0.09846738873614563}"
Water Potability,3,BayesianOptimization,0.663109756097561,0.6470588235294118,0.30078125,0.4106666666666667,20.05308747291565,"{'C': 1.989171866747887, 'gamma': 0.08027968300183032}"
Employee,3,GridSearch,0.8474758324382384,0.8708333333333333,0.653125,0.7464285714285714,18.574413061141968,"{'C': np.float64(21.544346900318846), 'gamma': np.float64(0.21544346900318845)}"
Employee,3,RandomSearch,0.8549946294307197,0.8936170212765957,0.65625,0.7567567567567568,9.05773377418518,"{'C': 45.70563099801451, 'gamma': 0.09846738873614563}"
Employee,3,BayesianOptimization,0.8549946294307197,0.8870292887029289,0.6625,0.7584973166368515,36.45242428779602,"{'C': 277.4490244509599, 'gamma': 0.03952203371618826}"
Weather,3,GridSearch,0.863,0.7755775577557755,0.5328798185941043,0.6317204301075269,107.53684782981873,"{'C': np.float64(1000.0), 'gamma': np.float64(0.0001)}"
Weather,3,RandomSearch,0.862,0.7978339350180506,0.5011337868480725,0.6155988857938719,82.32005786895752,"{'C': 1.4445251022763057, 'gamma': 0.002858549394196191}"
Weather,3,BayesianOptimization,0.864,0.7788778877887789,0.5351473922902494,0.6344086021505376,81.68237066268921,"{'C': 492.9053648241689, 'gamma': 0.00010090061869151568}"
Breast Cancer,4,GridSearch,0.9473684210526315,1.0,0.8571428571428571,0.9230769230769231,0.27629518508911133,"{'C': np.float64(0.464158883361278), 'gamma': np.float64(0.004641588833612782)}"
Breast Cancer,4,RandomSearch,0.9473684210526315,1.0,0.8571428571428571,0.9230769230769231,0.24792075157165527,"{'C': 0.28888383623653174, 'gamma': 0.006789053271698485}"
Breast Cancer,4,BayesianOptimization,0.9473684210526315,1.0,0.8571428571428571,0.9230769230769231,2.0161092281341553,"{'C': 96.09812947036423, 'gamma': 0.0008263688714158015}"
Titanic,4,GridSearch,0.8435754189944135,0.9183673469387755,0.6521739130434783,0.7627118644067796,0.9259030818939209,"{'C': np.float64(0.464158883361278), 'gamma': np.float64(0.21544346900318845)}"
Titanic,4,RandomSearch,0.8156424581005587,0.8333333333333334,0.6521739130434783,0.7317073170731707,0.44919538497924805,"{'C': 45.70563099801451, 'gamma': 0.09846738873614563}"
Titanic,4,BayesianOptimization,0.8100558659217877,0.8070175438596491,0.6666666666666666,0.7301587301587301,2.4528262615203857,"{'C': 0.11636364436937628, 'gamma': 0.08779000351992682}"
Water Potability,4,GridSearch,0.6859756097560976,0.7551020408163265,0.2890625,0.4180790960451977,7.8577330112457275,"{'C': np.float64(1000.0), 'gamma': np.float64(0.004641588833612782)}"
Water Potability,4,RandomSearch,0.663109756097561,0.9069767441860465,0.15234375,0.2608695652173913,6.0897181034088135,"{'C': 0.3320559103751957, 'gamma': 0.0420515645091387}"
Water Potability,4,BayesianOptimization,0.6875,0.7107438016528925,0.3359375,0.4562334217506631,11.868657112121582,"{'C': 1.3026494866905396, 'gamma': 0.10267232637133082}"
Employee,4,GridSearch,0.8270676691729323,0.806949806949807,0.653125,0.7219343696027634,22.496108770370483,"{'C': np.float64(21.544346900318846), 'gamma': np.float64(0.21544346900318845)}"
Employee,4,RandomSearch,0.832438238453276,0.8388429752066116,0.634375,0.7224199288256228,9.132744073867798,"{'C': 45.70563099801451, 'gamma': 0.09846738873614563}"
Employee,4,BayesianOptimization,0.8292158968850698,0.8232931726907631,0.640625,0.7205623901581723,39.75231909751892,"{'C': 79.15074397656232, 'gamma': 0.0964385761594144}"
Weather,4,GridSearch,0.854,0.759581881533101,0.4943310657596372,0.5989010989010989,109.06823205947876,"{'C': np.float64(21.544346900318846), 'gamma': np.float64(0.0001)}"
Weather,4,RandomSearch,0.856,0.7628865979381443,0.5034013605442177,0.6065573770491803,83.4737856388092,"{'C': 1.4445251022763057, 'gamma': 0.002858549394196191}"
Weather,4,BayesianOptimization,0.855,0.7542087542087542,0.5079365079365079,0.6070460704607046,84.44193172454834,"{'C': 1.9780827689353788, 'gamma': 0.004661686413912771}"
Breast Cancer,5,GridSearch,0.9649122807017544,1.0,0.9047619047619048,0.95,0.2957589626312256,"{'C': np.float64(1000.0), 'gamma': np.float64(0.0001)}"
